,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
22345,ELEC,CREEKSIDE CREEKSIDE1,5401 E Parmer Ln,,Austin,TX,78653,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.369535,-97.61957,2023-10-30,149448,2023-10-30 00:25:40 UTC,,,,2019-11-23,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
22503,ELEC,LAS CIMAS4 LAS CIMAS #1,900 S Capital of Texas Hwy,,West Lake Hills,TX,78746,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.28771,-97.829448,2023-10-30,149756,2023-10-30 00:35:46 UTC,,,,2019-12-06,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
22588,ELEC,WEINSTEIN 3 FIVE,8003 S IH 35 Frontage Rd,,Austin,TX,78744,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.172599,-97.777067,2023-10-30,150004,2023-10-30 00:23:33 UTC,,,,2019-12-13,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
22766,ELEC,COA TWIN OAKS #1,1800 S 5th St,,Austin,TX,78704,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.248932,-97.762283,2023-10-30,150470,2023-10-30 00:35:53 UTC,,,,2019-12-21,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
23451,ELEC,7700 PARMER 7700 PARMER 3,7700 W PARMER LN,,Austin,TX,78729,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.458615,-97.752557,2023-10-30,152285,2023-10-30 00:34:05 UTC,,,,2020-01-08,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
23550,ELEC,ACC CYP STAT1,ACC Cypress Creek,,Cedar Park,TX,78613,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.479233,-97.8346,2023-10-30,152494,2023-10-30 00:36:44 UTC,,,,2020-01-17,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
23677,ELEC,PALOMA RIDGE PALOMA BDG C #3,13620 N FM 620,,Austin,TX,78717,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.477716,-97.779045,2023-10-30,152885,2023-10-30 00:37:07 UTC,,,,2020-01-23,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
23901,ELEC,ACC-AE NORTHRIDGE2,11928 Stonehollow,,Austin,TX,78758,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.404151,-97.705712,2023-10-30,153329,2023-10-30 00:32:45 UTC,,,,2020-02-06,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24188,ELEC,LADERA BEND BUILDING 1,7300 Ranch Rd 2222,,Austin,TX,78750,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.373991,-97.802572,2023-10-30,154084,2023-10-30 00:21:27 UTC,,,,2020-02-27,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24238,ELEC,CITY CEDAR PARK CP LIBRARY,550 Discovery Blvd,,Cedar Park,TX,78613,,888-758-4389,T,2023-10-10,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.51841,-97.824717,2023-10-30,154178,2023-10-30 00:38:20 UTC,,,,2020-02-29,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24239,ELEC,CITY CEDAR PARK CP REC CENTER,1435 Main St,,Cedar Park,TX,78613,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.52763,-97.824967,2023-10-30,154179,2023-10-30 00:38:18 UTC,,,,2020-02-29,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24240,ELEC,CITY CEDAR PARK CP CITY HALL,500 Cypress Creek Road,,Cedar Park,TX,78613,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.49578,-97.821963,2023-10-30,154180,2023-10-30 00:38:18 UTC,,,,2020-02-29,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24598,ELEC,REPUBLICSQUARE GABLES REPUB4,219 W 4th St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.266802,-97.74575,2023-10-30,155137,2023-10-30 00:37:59 UTC,,,,2020-04-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24599,ELEC,REPUBLICSQUARE GABLES REPUB2,217B W 4th St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.26679,-97.74565,2023-10-30,155138,2023-10-30 00:37:58 UTC,,,,2020-04-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24600,ELEC,REPUBLICSQUARE GABLES REPUB3,213 W 4th St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.266573,-97.74553,2023-10-30,155139,2023-10-30 00:37:58 UTC,,,,2020-04-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24601,ELEC,REPUBLICSQUARE GABLES REPUB1,311 W 5th St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.267609,-97.746544,2023-10-30,155140,2023-10-30 00:37:24 UTC,,,,2020-04-02,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24764,ELEC,PIE AE SALTILLO DCFC 4,901 E 5th St,,Austin,TX,78702,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.264185,-97.733688,2023-10-30,155494,2023-10-30 00:38:08 UTC,,,,2020-04-22,,,,,CHADEMO J1772COMBO,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24788,ELEC,TERRA TERRA1,Unnamed Road,,Austin,TX,78744,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.170794,-97.77565,2023-10-30,155531,2023-10-30 00:39:06 UTC,,,,2020-04-23,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
24789,ELEC,TERRA TERRA2,15 Bridgeford Dr,,Austin,TX,78745,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.169432,-97.772125,2023-10-30,155532,2023-10-30 00:39:04 UTC,,,,2020-04-23,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
25126,ELEC,PIE AE PUBPEARSONH LN1,905 W Howard Ln,,Austin,TX,78753,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.416583,-97.666048,2023-10-30,156234,2023-10-30 00:40:02 UTC,,,,2020-05-13,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28047,ELEC,DSMCUT EVSE05 FLOOR L3,501573 E 15th St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.275245,-97.734566,2023-10-30,162533,2023-10-30 00:21:00 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28048,ELEC,DSMCUT EVSE08 G LEVEL,1305 Red River St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.275195,-97.734584,2023-10-30,162534,2023-10-30 00:20:59 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28049,ELEC,100 CONGRESS STATION 1,100 Congress Ave,,Austin,TX,78701,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.26396,-97.744801,2023-10-30,162535,2023-10-30 00:20:56 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28050,ELEC,PIE AE CITY HALL STAT1,400 W 2nd St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.264942,-97.746925,2023-10-30,162538,2023-10-30 00:20:41 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28051,ELEC,PIE AE PUBAMLI1,401-499 W 3rd St,,Austin,TX,78701,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.266398,-97.747964,2023-10-30,162539,2023-10-30 00:20:41 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28052,ELEC,PIE AE PUBGABLESPRESS1,1313 W 6th St,,Austin,TX,78703,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.273141,-97.759947,2023-10-30,162540,2023-10-30 00:20:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28053,ELEC,PIE AE RUTHERFORDCAMP1,8301 Cameron Rd,,Austin,TX,78754,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.337138,-97.680658,2023-10-30,162541,2023-10-30 00:20:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28054,ELEC,PIE AE PUB ACC NRIDGE1,11928 Stonehollow Dr,,Austin,TX,78758,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.404194,-97.705465,2023-10-30,162542,2023-10-30 00:20:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28055,ELEC,PIE AE TACARASR1,4306 N Quinlan Park Rd,,Austin,TX,78732,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.385777,-97.886769,2023-10-30,162543,2023-10-30 00:20:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28056,ELEC,PIE AE PUBGABLES 5TH 1,1611 W 5th St,,Austin,TX,78703,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.274209,-97.764758,2023-10-30,162544,2023-10-30 00:20:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28057,ELEC,PIE AE PUBACCSVSCTRST1,9101 Exchange Dr,,Austin,TX,78754,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.338393,-97.662155,2023-10-30,162545,2023-10-30 00:20:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28058,ELEC,PIE AE PUBACCSOAUSTIN1,5517 Manchaca Rd,,Austin,TX,78745,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.216019,-97.796332,2023-10-30,162546,2023-10-30 00:20:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28059,ELEC,PIE AE PUB ACC EVIEW1,3401 Webberville Rd,,Austin,TX,78702,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.268116,-97.706104,2023-10-30,162547,2023-10-30 00:20:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28060,ELEC,PIE AE PUBACCHIGHLAND1,5930 Middle Fiskville Rd,,Austin,TX,78752,,888-758-4389,T,2023-10-19,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.322654,-97.712743,2023-10-30,162548,2023-10-30 00:20:39 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28061,ELEC,PIE AE PUB-CENTRALMKTN,4001 N Lamar Blvd,,Austin,TX,78756,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.308484,-97.740767,2023-10-30,162549,2023-10-30 00:20:39 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28062,ELEC,PIE AE PUBDENNYSNORTH1,1601 Interstate 35 Frontage Road,,Austin,TX,78702,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.276513,-97.729639,2023-10-30,162552,2023-10-30 00:20:39 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28063,ELEC,PIE AE PUBACCRIVERSID1,1230-1290 Grove Blvd,,Austin,TX,78741,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.235093,-97.705194,2023-10-30,162554,2023-10-30 00:20:39 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28064,ELEC,PIE AE PUB UTANTONIO 2,2420 San Antonio St,,Austin,TX,78705,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.288705,-97.742539,2023-10-30,162556,2023-10-30 00:20:38 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28065,ELEC,PIE AE PUB-CENTRALMKTS,4477 S Lamar Blvd,,Austin,TX,78745,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.232256,-97.798438,2023-10-30,162557,2023-10-30 00:20:38 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28067,ELEC,PIE AE AUS AIRPORT DC2,2901 Spirit of Texas Dr,,Austin,TX,78719,,888-758-4389,E,,Public,24 hours daily,,,,,,,1.0,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.210671,-97.667628,2023-10-30,162560,2023-10-30 00:42:55 UTC,,,,2020-06-12,,,,,CHADEMO J1772COMBO,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28068,ELEC,FASTPARK AUS 2,2300 Spirit of Texas Dr,,Austin,TX,78617,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.218294,-97.661946,2023-10-30,162561,2023-10-30 00:20:25 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28072,ELEC,PIE AE PUBGABLESPRESS2,507 Pressler St,,Austin,TX,78703,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.273037,-97.759986,2023-10-30,162566,2023-10-30 00:20:04 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28075,ELEC,HYATT PLACE HP STATION 3,9532 Spirit of Austin Ln,,Austin,TX,78719,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.210387,-97.664586,2023-10-30,162570,2023-10-30 00:19:38 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28079,ELEC,COA LOT J NW,10200 Hotel Drive,,Austin,TX,78719,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.20963,-97.660839,2023-10-30,162575,2023-10-30 00:18:58 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28082,ELEC,BURNET FLATS BURNET FLATS G1,5453 Burnet Rd,,Austin,TX,78756,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.330046,-97.739251,2023-10-30,162580,2023-10-30 00:18:41 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28084,ELEC,THE PARK-GARAGE GARAGE P2 L2,3711 S MoPac Expy,,Austin,TX,78746,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.246007,-97.804622,2023-10-30,162582,2023-10-30 00:18:38 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28090,ELEC,LADERA BEND GATED GARAGE 2,7300 Ranch Rd 2222,,Austin,TX,78730,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.372159,-97.80166,2023-10-30,162601,2023-10-30 00:17:34 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28094,ELEC,LADERA BEND BUILDING 3,7300 Ranch Rd 2222,,Austin,TX,78730,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.374104,-97.802892,2023-10-30,162616,2023-10-30 00:17:07 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28096,ELEC,MIRA VISTA STATION 1,2705 Bee Cave Rd,,Austin,TX,78746,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.269525,-97.786972,2023-10-30,162619,2023-10-30 00:16:58 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28099,ELEC,PIE AE PUBHARCON L2,6601 Vaught Ranch Rd,,Austin,TX,78730,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.373046,-97.806478,2023-10-30,162623,2023-10-30 00:16:55 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28100,ELEC,PARK&ZOOM VALET #2,2601 Cardinal Loop,,Austin,TX,78617,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.213452,-97.657691,2023-10-30,162624,2023-10-30 00:16:48 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28101,ELEC,PARK&ZOOM VALET #5,9518 Hotel Dr,,Austin,TX,78719,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.211668,-97.661771,2023-10-30,162626,2023-10-30 00:16:43 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28102,ELEC,INT-BIO EV CHGR INTBIO EV CHGR1,8206 Cross Park Dr,,Austin,TX,78754,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.33089,-97.668908,2023-10-30,162628,2023-10-30 00:16:24 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28105,ELEC,THE GROVE MAIN STATION 1,3707 Manchaca Rd,,Austin,TX,78704,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.236473,-97.782607,2023-10-30,162631,2023-10-30 00:15:55 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28106,ELEC,RPP GARAGE GARAGE GW,12455 Research Park Loop,,Austin,TX,78727,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.429363,-97.755248,2023-10-30,162632,2023-10-30 00:15:53 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28111,ELEC,120 ENTRANCE ACH MAIN,2200 S. Interstate 35,,Austin,TX,78704,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.235856,-97.741577,2023-10-30,162642,2023-10-30 00:15:16 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28113,ELEC,NATIONAL INSTRU 19&20;,11500 N Mopac Expy,,Austin,TX,78759,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.40854,-97.72767,2023-10-30,162645,2023-10-30 00:14:53 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28119,ELEC,GAINESRANCH GAINES 1,4424 Gaines Ranch Loop,,Austin,TX,78735,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.244044,-97.818364,2023-10-30,162652,2023-10-30 00:14:05 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28120,ELEC,AMBEROAKS-AE AMBER 1,9001 Amberglen Blvd,,Austin,TX,78729,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.470002,-97.766435,2023-10-30,162653,2023-10-30 00:14:05 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28123,ELEC,ROSCOE PROPERTI THE CONNECTION,4404 E Oltorf St,,Austin,TX,78741,,888-758-4389,T,2023-07-21,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.227456,-97.726096,2023-10-30,162664,2023-10-30 00:13:44 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28126,ELEC,HABITAT SUITES DUAL PORT,500 E Highland Mall Blvd,,Austin,TX,78752,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.329139,-97.709555,2023-10-30,162672,2023-10-30 00:13:33 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28127,ELEC,ROSCOE PROPERTI CURRENT MAIN,2057 Willow Creek Dr,,Austin,TX,78741,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.231758,-97.729473,2023-10-30,162673,2023-10-30 00:13:31 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
28128,ELEC,ROSCOE PROPERTI VOLUME MAIN,1715 E 32nd St,,Austin,TX,78722,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,30.28544,-97.715107,2023-10-30,162674,2023-10-30 00:13:31 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
